t,S,I,R,C,integer_day,time_diff,S2I_transitions
0.8811893572512652,99890,50,60,10,1,0.11881064274873476,10
1.9260956785192798,99881,52,67,19,2,0.07390432148072024,9
2.926492996064288,99874,52,74,26,3,0.07350700393571197,7
3.9170473602505056,99867,54,79,33,4,0.0829526397494944,7
4.969056670510176,99861,50,89,39,5,0.03094332948982359,6
5.978791454544724,99848,57,95,52,6,0.021208545455276173,13
6.988352124523401,99840,60,100,60,7,0.011647875476598735,8
7.984046288024359,99819,70,111,81,8,0.015953711975640772,21
8.856678276748664,99805,69,126,95,9,0.1433217232513364,14
9.976014266214046,99794,71,135,106,10,0.023985733785954366,11
10.965404505383727,99783,66,151,117,11,0.03459549461627276,11
11.969477536676981,99761,78,161,139,12,0.030522463323018556,22
12.995541818564089,99746,80,174,154,13,0.004458181435911257,15
13.966496887461803,99726,81,193,174,14,0.033503112538197044,20
14.924527896635452,99712,81,207,188,15,0.07547210336454846,14
15.915359497599638,99687,94,219,213,16,0.08464050240036158,25
16.998295515564905,99670,98,232,230,17,0.0017044844350948551,17
17.99620379275201,99654,93,253,246,18,0.0037962072479906794,16
18.954744299337406,99637,104,259,263,19,0.04525570066259377,17
19.995292107377296,99618,103,279,282,20,0.004707892622704435,19
20.981010309376995,99594,110,296,306,21,0.018989690623005373,24
21.999613018738447,99564,121,315,336,22,3.8698126155267687e-4,30
22.972221750136825,99538,134,328,362,23,0.02777824986317512,26
23.994364117553253,99510,144,346,390,24,0.005635882446746621,28
24.96443414697953,99488,139,373,412,25,0.03556585302046855,22
25.970477937854916,99463,139,398,437,26,0.029522062145083794,25
26.96728720173003,99432,142,426,468,27,0.03271279826996931,31
27.97838976717033,99407,149,444,493,28,0.02161023282966923,25
28.98065543457991,99378,151,471,522,29,0.019344565420091442,29
29.97782033398617,99351,154,495,549,30,0.022179666013830257,27
30.993939354990232,99309,170,521,591,31,0.006060645009767995,42
31.99662901718405,99275,174,551,625,32,0.0033709828159516064,34
32.991949343492145,99234,182,584,666,33,0.00805065650785508,41
33.97232677579277,99195,194,611,705,34,0.027673224207227065,39
34.99876805525437,99145,217,638,755,35,0.0012319447456334842,50
35.99441813242765,99101,225,674,799,36,0.005581867572352905,44
36.98458626716071,99065,227,708,835,37,0.015413732839292038,36
37.980608677167744,99015,250,735,885,38,0.019391322832255753,50
38.99524714818524,98936,290,774,964,39,0.004752851814757264,79
39.99348590709476,98878,314,808,1022,40,0.006514092905241853,58
40.99472165917688,98812,329,859,1088,41,0.005278340823117844,66
41.9993196476339,98739,344,917,1161,42,6.803523661034205e-4,73
42.98963651798461,98650,378,972,1250,43,0.010363482015392833,89
43.99589743098805,98563,408,1029,1337,44,0.004102569011948276,87
44.98280292985618,98478,435,1087,1422,45,0.017197070143822657,85
45.99054921682819,98368,487,1145,1532,46,0.009450783171807586,110
46.996980601117,98258,531,1211,1642,47,0.003019398882997848,110
47.992330362583004,98137,573,1290,1763,48,0.007669637416995556,121
48.98957721088142,98018,612,1370,1882,49,0.010422789118578635,119
49.997014125500385,97876,657,1467,2024,50,0.002985874499614738,142
50.99436118058026,97713,720,1567,2187,51,0.0056388194197367625,163
51.99848351927443,97566,783,1651,2334,52,0.0015164807255700907,147
52.998701654645814,97410,837,1753,2490,53,0.001298345354186381,156
53.99978266979623,97235,895,1870,2665,54,2.1733020376757395e-4,175
54.99995707586598,97031,966,2003,2869,55,4.2924134021404825e-5,204
55.99728091795437,96813,1043,2144,3087,56,0.0027190820456297615,218
56.99621091928339,96583,1126,2291,3317,57,0.0037890807166078844,230
57.99994660828458,96328,1221,2451,3572,58,5.339171541862697e-5,255
58.99802128894358,96078,1272,2650,3822,59,0.001978711056416671,250
59.997998197705925,95782,1401,2817,4118,60,0.0020018022940746505,296
60.998266010374664,95484,1509,3007,4416,61,0.0017339896253361076,298
61.999751785001834,95170,1592,3238,4730,62,2.4821499816596315e-4,314
62.99912844608155,94857,1650,3493,5043,63,8.715539184507293e-4,313
63.99707975120998,94495,1735,3770,5405,64,0.0029202487900192864,362
64.9995496514508,94140,1855,4005,5760,65,4.5034854919379086e-4,355
65.99793006609099,93700,2045,4255,6200,66,0.0020699339090128888,440
66.99968426379976,93295,2128,4577,6605,67,3.1573620023550575e-4,405
67.99909026264856,92877,2228,4895,7023,68,9.097373514350693e-4,418
68.99848490856635,92421,2349,5230,7479,69,0.001515091433645921,456
69.99779255329581,91970,2482,5548,7930,70,0.0022074467041903745,451
70.99915334545453,91500,2587,5913,8400,71,8.466545454695051e-4,470
71.99943769404544,90987,2720,6293,8913,72,5.623059545598608e-4,513
72.99934237195235,90456,2836,6708,9444,73,6.576280476480179e-4,531
73.99619990109954,89881,3009,7110,10019,74,0.0038000989004558505,575
74.99999648510494,89286,3166,7548,10614,75,3.5148950559005243e-6,595
75.99972867127096,88690,3299,8011,11210,76,2.7132872904189753e-4,596
76.99859866916978,87998,3476,8526,11902,77,0.0014013308302196492,692
77.99923349293871,87287,3686,9027,12613,78,7.665070612858926e-4,711
78.99979224096587,86603,3785,9612,13297,79,2.0775903412584285e-4,684
79.99942825608055,85913,3868,10219,13987,80,5.717439194512508e-4,690
80.99962732949497,85156,4044,10800,14744,81,3.726705050297596e-4,757
81.99997293051206,84382,4237,11381,15518,82,2.7069487941844272e-5,774
82.99804441551117,83548,4486,11966,16352,83,0.0019555844888259344,834
83.99990054962335,82744,4648,12608,17156,84,9.945037665204381e-5,804
84.99977408818692,81864,4879,13257,18036,85,2.2591181307518582e-4,880
